,Answer,Comment 1,Comment 2,Comment 3,Link,Question,Time,UpVotes
0,"
I found this to finally work.
python3 -m pip install --upgrade https://storage.googleapis.com/tensorflow/mac/cpu/tensorflow-1.12.0-py3-none-any.whl

Edit 1: This was tested on Windows (8, 8.1, 10), Mac and Linux. Change python3 to python according to your configuration. Change py3 to py2 in the url if you are using Python 2.x.
Edit 2: A list of different versions if someone needs: https://storage.googleapis.com/tensorflow
Edit 3: A list of urls for the available wheel packages is available here:
https://www.tensorflow.org/install/pip#package-location
","
This may be the right answer, but users please note that this command is for Mac only, not linux.
                
                    – penta
Apr 9 '17 at 16:26
","
That's is wierd. As the URL which u have specified mentions Mac & if you try to use this url it will install. But tensorflow will actually not work.
                
                    – penta
Apr 12 '17 at 14:44
","
The windows version of the URL (for v.1.2.1) is storage.googleapis.com/tensorflow/windows/cpu/…. This only works with the AMD64 version of Python. A full list of tensorflow versions is here: storage.googleapis.com/tensorflow
                
                    – c2huc2hu
Jul 11 '17 at 3:27



",https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Feb 6 at,687
1,"
You need a 64-bit version of Python and in your case are using a 32-bit version. As of now Tensorflow only supports 64-bit versions of Python 3.5.x and 3.6.x on Windows. See the install docs to see what is currently supported
To check which version of Python you are running, type python or python3 to start the interpreter, and then type import struct;print(struct.calcsize(""P"") * 8) and that will print either 32 or 64 to tell you which bit version of Python you are running.
From comments:
To download a different version of Python for Windows, go to python.org/downloads/windows and scroll down until you see the version you want that ends in a ""64"". That will be the 64 bit version that should work with tensorflow
","
>>> import platform;print(platform.architecture()) ('64bit', 'WindowsPE') but still I am seeing this exception
                
                    – Sujoy
Mar 1 '17 at 16:43
","
Suspicious of the ""top"" answer; this seems simple, intuitive, fast and safe by comparison. Tested ok with Python 3.6.4 on Windows 7.
                
                    – omatai
Feb 19 '18 at 22:06
","
To check which version of Python you are running, type python or python3 to start the interpreter, and then type import struct;print(struct.calcsize(""P"") * 8) and that will print either 32 or 64 to tell you which type you are running.
                
                    – Pro Q
Jun 22 '18 at 15:37
",https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Mar 6 at,258
2,"
You need to use right version of Python and pip
On Windows 10, with Python 3.6.X version I was facing same then after checking deliberately , I noticed I had Python-32 bit installation on my 64 bit machine. Remember TensorFlow is only compatible with 64bit installation of python. Not 32 bit of Python

If we download Python from python.org , the default installation would be 32 bit. So we have to download 64 bit installer manually to install Python 64 bit. And then add below to PATH environment.
C:\Users\AppData\Local\Programs\Python\Python36
C:\Users\AppData\Local\Programs\Python\Python36\Scripts

Then run gpupdate /Force on command prompt. If python command doesnt work for 64 bit restart your machine.
Then run python on command prompt. It should show 64 bit
C:\Users\YOURNAME>python
Python 3.6.3 (v3.6.3:2c5fed8, Oct  3 2017, 18:11:49) [MSC v.1900 64 bit (AMD64)] on win32
Type ""help"", ""copyright"", ""credits"" or ""license"" for more information.

Then run below command to install tensorflow CPU version(recommended)
pip3 install --upgrade tensorflow


Update - Python 3.7
Currently only Python 3.5 and Python 3.6 are supported officially. Tensorflow has not released binaries for Python 3.7 still officially, we might need to wait a little for it to be released. You can use Python 3.6.x alongside or Anaconda with Python<3.7 virtual environment for time being.
","
While providing a link that may answer the question is fine, but it will be better if you can also include the necessary explanation here in the answer itself. Link may not work in the near future for any number of reasons say author removes/changes the pages, etc.
                
                    – n4m31ess_c0d3r
Nov 30 '17 at 21:37
","
I did not realise I had installed Python 3.6.x 32-bit version on my 64-bit machine. Need to uninstall that and follow your instruction in this post. All works now. Thank you!
                
                    – yangli.liy
Feb 4 '18 at 10:51
","
Thanks.  To simplify this answer 2 points helped me 1.) use 64 bit version. 2.) Only python 3.5 and 3.6 are supported. Don't try use 3.7
                
                    – Harry
Jan 10 '19 at 14:29



",https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Jan 12 '19,70
3,"
If you are trying to install it on a windows machine you need to have a 64-bit version of python 3.5. This is the only way to actually install it. From the website:

TensorFlow supports only 64-bit Python 3.5 on Windows. We have tested the pip packages with the following distributions of Python:
Python 3.5 from Anaconda
Python 3.5 from python.org.

You can download the proper version of python from here (make sure you grab one of the ones that says ""Windows x86-64"")
You should now be able to install with pip install tensorflow or python -m pip install tensorflow (make sure that you are using the right pip, from python3, if you have both python2 and python3 installed)
Remember to install Anaconda 3-5.2.0 as the latest version which is 3-5.3.0 have python version 3.7 which is not supported by Tensorflow.
",null,null,null,https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Dec 22 '18,41
4,"
From tensorflow website: ""You will need pip version 8.1 or later for the following commands to work"". Run this command to upgrade your pip, then try install tensorflow again:
pip install --upgrade pip

","
$ pip3 --version pip 9.0.1 from c:\work\apps\python\lib\site-packages (python 3.6)  But still I see this error.
                
                    – Sujoy
Mar 1 '17 at 16:36



","
tensorflow does not work with python 3.6. You need version 3.5
                
                    – Jodo
Mar 19 '17 at 21:13
","
Also, I had to use python -m pip install --upgrade pip. Otherwise I would get file permission issues...
                
                    – Jodo
Mar 19 '17 at 21:21
",https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Dec 30 '16,40
5,"
I figured out that TensorFlow 1.12.0 only works with Python version 3.5.2. I had Python 3.7 but that didn't work. So, I had to downgrade Python and then I could install TensorFlow to make it work.
To downgrade your python version from 3.7 to 3.6
conda install python=3.6.8

","
how to downgrade v3.6 to v3.5.2 ?
                
                    – Essam Mohamed Fahmi
Sep 13 '17 at 1:38
","
Install 3.5.2 and update your classpath to point to 3.5.2. You can change back to 3.6 for other python stuff.
                
                    – Sujoy
Sep 13 '17 at 12:59
","
RuntimeWarning: compile time version 3.6 of module 'tensorflow.python.framework.fast_tensor_u til' does not match runtime version 3.7.... It is due to this error it is unable to fetch
                
                    – Sumit Kumar Saha
Jan 26 '19 at 10:42



",https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,May 25 '19,39
6,"
Updated 11/28/2016: TensorFlow is now available in PyPI, starting with release 0.12. You can type
pip install tensorflow

...or...
pip install tensorflow-gpu

...to install the CPU-only or GPU-accelerated version of TensorFlow respectively.

Previous answer: TensorFlow is not yet in the PyPI repository, so you have to specify the URL to the appropriate ""wheel file"" for your operating system and Python version.
The full list of supported configurations is listed on the TensorFlow website, but for example, to install version 0.10 for Python 2.7 on Linux, using CPU only, you would type the following command:
$ pip install https://storage.googleapis.com/tensorflow/linux/cpu/tensorflow-0.10.0rc0-cp27-none-linux_x86_64.whl

","
will it work or will I need to setup other things also according to what tensorflow.org/versions/r0.10/get_started/os_setup.html says?
                
                    – user6574649
Aug 12 '16 at 3:58



","
I still get the same error on OSX, is it working for everyone else?
                
                    – lemonzi
Jan 19 '17 at 16:55
","
@lemonzi, I also had an error in OSX, just posted a solution that worked for me (solution was to make sure I had Python 3.6 installed)
                
                    – Julia Schwarz
Jan 22 '17 at 18:35
",https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Nov 29 '16,19
7,"
Install Python 3.5.x 64 bit amd version here. Make sure you add Python to your PATH variable. Then open a command prompt and type 
python -m pip install --upgrade pip

should give you the following result :
 Collecting pip
 Using cached pip-9.0.1-py2.py3-none-any.whl
 Installing collected packages: pip
 Found existing installation: pip 7.1.2
 Uninstalling pip-7.1.2:
 Successfully uninstalled pip-7.1.2
 Successfully installed pip-9.0.1

Now type 
 pip3 install --upgrade tensorflow

","
Fatal error in launcher: Unable to create process using '""'
                
                    – DJ Howarth
Oct 10 '17 at 14:46
",null,null,https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Mar 4 '19,12
8,"
I had the same problem and solved with this:
# Ubuntu/Linux 64-bit, CPU only, Python 2.7
(tensorflow)$ export TF_BINARY_URL=https://storage.googleapis.com/tensorflow/linux/cpu/tensorflow-0.12.1-cp27-none-linux_x86_64.whl

# Ubuntu/Linux 64-bit, GPU enabled, Python 2.7
# Requires CUDA toolkit 8.0 and CuDNN v5. For other versions, see ""Installing from sources"" below.

# Mac OS X, CPU only, Python 2.7:
(tensorflow)$ export TF_BINARY_URL=https://storage.googleapis.com/tensorflow/mac/cpu/tensorflow-0.12.1-py2-none-any.whl

# Mac OS X, GPU enabled, Python 2.7:
(tensorflow)$ export TF_BINARY_URL=https://storage.googleapis.com/tensorflow/mac/gpu/tensorflow_gpu-0.12.1-py2-none-any.whl

# Ubuntu/Linux 64-bit, CPU only, Python 3.4
(tensorflow)$ export TF_BINARY_URL=https://storage.googleapis.com/tensorflow/linux/cpu/tensorflow-0.12.1-cp34-cp34m-linux_x86_64.whl

# Ubuntu/Linux 64-bit, GPU enabled, Python 3.4
# Requires CUDA toolkit 8.0 and CuDNN v5. For other versions, see ""Installing from sources"" below.
(tensorflow)$ export TF_BINARY_URL=https://storage.googleapis.com/tensorflow/linux/gpu/tensorflow_gpu-0.12.1-cp34-cp34m-linux_x86_64.whl

# Ubuntu/Linux 64-bit, CPU only, Python 3.5
(tensorflow)$ export TF_BINARY_URL=https://storage.googleapis.com/tensorflow/linux/cpu/tensorflow-0.12.1-cp35-cp35m-linux_x86_64.whl

# Requires CUDA toolkit 8.0 and CuDNN v5. For other versions, see ""Installing from sources"" below.
(tensorflow)$ export TF_BINARY_URL=https://storage.googleapis.com/tensorflow/linux/gpu/tensorflow_gpu-0.12.1-cp35-cp35m-linux_x86_64.whl

# Mac OS X, CPU only, Python 3.4 or 3.5:
(tensorflow)$ export TF_BINARY_URL=https://storage.googleapis.com/tensorflow/mac/cpu/tensorflow-0.12.1-py3-none-any.whl

# Mac OS X, GPU enabled, Python 3.4 or 3.5:
(tensorflow)$ export TF_BINARY_URL=https://storage.googleapis.com/tensorflow/mac/gpu/tensorflow_gpu-0.12.1-py3-none-any.whl

Plus:
# Python 2
(tensorflow)$ pip install --upgrade $TF_BINARY_URL

# Python 3
(tensorflow)$ pip3 install --upgrade $TF_BINARY_URL

Found on Docs.
UPDATE!
There are new links for new versions
For example, for installing tensorflow v1.0.0 in OSX you need to use:
https://storage.googleapis.com/tensorflow/mac/cpu/tensorflow-1.0.0-py2-none-any.whl

instead of
https://storage.googleapis.com/tensorflow/mac/cpu/tensorflow-0.12.1-py2-none-any.whl

",null,null,null,https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Apr 3 '17,11
9,"
I had the same error when trying to install on my Mac (using Python 2.7). A similar solution to the one I'm giving here also seemed to work for Python 3 on Windows 8.1 according to a different answer on this page by Yash Kumar Verma
Solution 
Step 1: go to The URL of the TensorFlow Python package section of the TensorFlow installation page and copy the URL of the relevant link for your Python installation.
Step 2: open a terminal/command prompt and run the following command:
pip install --upgrade [paste copied url link here] 
So for me it was the following:
pip install --upgrade https://storage.googleapis.com/tensorflow/mac/cpu/tensorflow-1.2.0-py2-none-any.whl
Update (July 21 2017): I tried this with some others who were running on Windows machines with Python 3.6 and they had to change the line in Step 2 to:
python -m pip install [paste copied url link here]
Update (26 July 2018): For Python 3.6.2 (not 3.7 because it's in 3.6.2 in TF Documentation), you can also use pip3 install --upgrade [paste copied URL here] in Step 2.
","
This solution installs, but when I import tensorflow I get an error:
                
                    – Tensigh
Jul 4 '17 at 1:23
","
I've only used Keras with Tensorflow as a backend and it works fine. What error message do you get?
                
                    – Jonny Brooks
Jul 5 '17 at 7:21
","
Just tested and tensorflow imports fine for me.
                
                    – Jonny Brooks
Jul 6 '17 at 16:22
",https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Jul 26 '18,11
