comments,Label
,
"
This may be the right answer, but users please note that this command is for Mac only, not linux.
                
                    – penta
Apr 9 '17 at 16:26
",1
,
"
That's is wierd. As the URL which u have specified mentions Mac & if you try to use this url it will install. But tensorflow will actually not work.
                
                    – penta
Apr 12 '17 at 14:44
",0
,
"
The windows version of the URL (for v.1.2.1) is storage.googleapis.com/tensorflow/windows/cpu/…. This only works with the AMD64 version of Python. A full list of tensorflow versions is here: storage.googleapis.com/tensorflow
                
                    – c2huc2hu
Jul 11 '17 at 3:27



",2
,
"
>>> import platform;print(platform.architecture()) ('64bit', 'WindowsPE') but still I am seeing this exception
                
                    – Sujoy
Mar 1 '17 at 16:43
",0
,
"
Suspicious of the ""top"" answer; this seems simple, intuitive, fast and safe by comparison. Tested ok with Python 3.6.4 on Windows 7.
                
                    – omatai
Feb 19 '18 at 22:06
",2
,
"
To check which version of Python you are running, type python or python3 to start the interpreter, and then type import struct;print(struct.calcsize(""P"") * 8) and that will print either 32 or 64 to tell you which type you are running.
                
                    – Pro Q
Jun 22 '18 at 15:37
",1
,
"
While providing a link that may answer the question is fine, but it will be better if you can also include the necessary explanation here in the answer itself. Link may not work in the near future for any number of reasons say author removes/changes the pages, etc.
                
                    – n4m31ess_c0d3r
Nov 30 '17 at 21:37
",0
,
"
I did not realise I had installed Python 3.6.x 32-bit version on my 64-bit machine. Need to uninstall that and follow your instruction in this post. All works now. Thank you!
                
                    – yangli.liy
Feb 4 '18 at 10:51
",2
,
"
Thanks.  To simplify this answer 2 points helped me 1.) use 64 bit version. 2.) Only python 3.5 and 3.6 are supported. Don't try use 3.7
                
                    – Harry
Jan 10 '19 at 14:29



",2
,
"
$ pip3 --version pip 9.0.1 from c:\work\apps\python\lib\site-packages (python 3.6)  But still I see this error.
                
                    – Sujoy
Mar 1 '17 at 16:36



",0
,
"
tensorflow does not work with python 3.6. You need version 3.5
                
                    – Jodo
Mar 19 '17 at 21:13
",1
,
"
Also, I had to use python -m pip install --upgrade pip. Otherwise I would get file permission issues...
                
                    – Jodo
Mar 19 '17 at 21:21
",1
,
"
how to downgrade v3.6 to v3.5.2 ?
                
                    – Essam Mohamed Fahmi
Sep 13 '17 at 1:38
",1
,
"
Install 3.5.2 and update your classpath to point to 3.5.2. You can change back to 3.6 for other python stuff.
                
                    – Sujoy
Sep 13 '17 at 12:59
",1
,
"
RuntimeWarning: compile time version 3.6 of module 'tensorflow.python.framework.fast_tensor_u til' does not match runtime version 3.7.... It is due to this error it is unable to fetch
                
                    – Sumit Kumar Saha
Jan 26 '19 at 10:42



",0
,
"
will it work or will I need to setup other things also according to what tensorflow.org/versions/r0.10/get_started/os_setup.html says?
                
                    – user6574649
Aug 12 '16 at 3:58



",1
,
"
I still get the same error on OSX, is it working for everyone else?
                
                    – lemonzi
Jan 19 '17 at 16:55
",0
,
